# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        128        2.4604754221        2.6942831486        0.0776255629      261.5188852806      264.4029951362
        129        2.1736779823        2.4466751415        0.1997585662      270.1649493312      262.6988835526
        130        1.9074648984        2.2334173011        0.4570673811      278.0944521250      261.0272064643
        131        1.6625057266        2.0656048448        0.6936446383      285.2835903507      259.3886688409
        132        1.4392639192        1.9773868754        0.9090353577      291.7160604449      257.7839643368
        133        1.2379983023        1.9306894241        1.1029844085      297.3830197223      256.2137757436
        134        1.0587695080        1.9356074320        1.2754302565      302.2828260543      254.6787730984
        135        0.9014512947        1.9992527437        1.4264939329      306.4206376719      253.1796096063
        136        0.7657464593        2.0883610297        1.5564635165      309.8078191060      251.7169156556
        137        0.6512068096        2.1860764264        1.6657746451      312.4612161217      250.2912920238
        138        0.5572564662        2.2851168749        1.7549877707      314.4022976840      248.9032988232
        139        0.4832175991        2.3813341973        1.8247630324      315.6561941047      247.5534471484
        140        0.4283375911        2.4720371755        1.8758337308      316.2507114629      246.2421887769
        141        0.3918165623        2.5548631225        1.9089794444      316.2153128361      244.9699051433
        142        0.3728341918        2.6280580485        1.9249998294      315.5801302921      243.7368967368
        143        0.3705748279        2.6897478373        1.9246900863      314.3750271421      242.5433729026
        144        0.3842499862        2.7389646823        1.9088189755      312.6287992649      241.3894423281
        145        0.4131174777        2.7750185606        1.8781101220      310.3684420496      240.2751045070
        146        0.4564965915        2.7963869845        1.8332271730      307.6186084816      239.2002423394
        147        0.5137789471        2.8026338555        1.7747631836      304.4011806063      238.1646160914
        148        0.5844348398        2.7958971479        1.7032344067      300.7350627571      237.1678588173
        149        0.6680150949        2.7740707416        1.6190784692      296.6360719178      236.2094733996
        150        0.7641486377        2.7409593137        1.5226567362      292.1171025608      235.2888312004
        151        0.8725361427        2.6962310158        1.4142605064      287.1882598200      234.4051724714
        152        0.9929402604        2.6438906379        1.2941205541      281.8573052452      233.5576083662
        153        1.1251730221        2.5869130104        1.1624194298      276.1300331026      232.7451247158
        154        1.2690811341        2.5303727324        1.0193058266      270.0109024401      231.9665870899
        155        1.4245297971        2.4814611045        0.8649103891      263.5035188232      231.2207476697
        156        1.5913858073        2.4528125898        0.6993622281      256.6113672163      230.5062532737
        157        1.7695006115        2.4623484664        0.5228054821      249.3384228502      229.8216547409
        158        1.9586939467        2.5165447908        0.3354153104      241.6896902821      229.1654173313
        159        2.1587386289        2.6165589694        0.1374127654      233.6718198159      228.5359319147
        160        2.3693469659        2.7568085518        0.0709219205      225.2935870637      227.9315268849
        161        2.5901591815        2.9169855783        0.2892380116      216.5663867854      227.3504804907
        162        2.8207341364        3.0920493766        0.5171051897      207.5045164586      226.7910334657
        163        3.0605425359        3.2849076663        0.7540069037      198.1254723942      226.2514015813
        164        3.3089627240        3.4935125188        0.9993362471      188.4501471923      225.7297880265
        165        3.5652790731        3.7112897704        1.2523943723      178.5028175979      225.2243953925
        166        3.8286829095        3.9366831220        1.5123913832      168.3111637499      224.7334369260
        167        4.0982758453        4.1729565985        1.7784495814      157.9061757678      224.2551470215
        168        4.3730753389        4.4273260697        2.0496088909      147.3219331554      223.7877907644
        169        4.6520222625        4.6878032674        2.3248342468      136.5953648390      223.3296723476
        170        4.9339902258        4.9518167669        2.6030247011      125.7658948672      222.8791423297
        171        5.2177963853        5.2186734785        2.8830239829      114.8750636440      222.4346036246
        172        5.5022128456        5.5023191539        3.1636316404      104.4502940823      221.9945177045
        173        5.7859808290        5.7860929871        3.4436168830       94.1969188749      221.5574052466
        174        6.0678235970        6.0679387526        3.7217312250       84.4113333457      221.1218494243
        175        6.3464603298        6.3465760234        3.9967220488       74.9010017795      220.6864974201
        176        6.6206200667        6.6207338234        4.2673462369       65.6451684443      220.2500605417
        177        6.8890554372        6.8891646478        4.5323836007       56.9741883745      219.8113134728
        178        7.1505559264        7.1506579354        4.7906498561       48.7366052083      219.3690927922
        179        7.4039604312        7.4040527134        5.0410089076       41.5712748676      218.9222949287
        180        7.6481688811        7.6482491767        5.2823842203       37.3117765825      218.4698737275
        181        7.8821527160        7.8822190727        5.5137690746       37.1692077409      218.0108377969
        182        8.1049640349        8.1050147759        5.7342355232       39.6656959037      217.5442478027
        183        8.3157432557        8.3157769388        5.9429418944       43.4928623427      217.0692138624
        184        8.5137251586        8.5137407168        6.1391387134       47.9866983396      216.5848931762
        185        8.6982432147        8.6982398787        6.3221729501       52.8112309774      216.0904880088
        186        8.8687321446        8.8687094677        6.4914905343       57.7005884261      215.5852441209
        187        9.0247286899        9.0246865645        6.6466371236       62.5251249043      215.0684497170
        188        9.1658706238        9.1658092648        6.7872571504       67.1494851526      214.5394349535
        189        9.2918940733        9.2918139986        6.9130912155       71.5003927359      213.9975720265
        190        9.4026292696        9.4025312840        7.0239719446       75.5729468023      213.4422758331
        191        9.4979948820        9.4978800476        7.1198184586       79.2707529733      212.8730051762
        192        9.5779911341        9.5778607554        7.2006296514       82.5842983720      212.2892644654
        193        9.6426919298        9.6425475293        7.2664764986       85.4962692856      211.6906058446
        194        9.6922362449        9.6920795382        7.3174936451       87.9871345177      211.0766316673
        195        9.7268190555        9.7266519253        7.3538705405       90.0493289062      210.4469972245
        196        9.7466820862        9.7465065544        7.3758423944       91.6766024937      209.8014136286
        197        9.7521046561        9.7519228554        7.3836812276       92.8654434702      209.1396507449
        198        9.7433948936        9.7432090366        7.3776872819       93.6190987871      208.4615400684
        199        9.7208815674        9.7206939149        7.3581810318       93.9395089283      207.7669774414
        200        9.6849067554        9.6847195831        7.3254960145       93.8257186607      207.0559255137
        201        9.6358195362        9.6356351021        7.2799726596       93.2772463361      206.3284158547
        202        9.5739708464        9.5737913540        7.2219532580       92.3287668469      205.5845506359
        203        9.4997096017        9.4995371658        7.1517781675       90.9642538401      204.8245038142
        204        9.4133801331        9.4132167483        7.0697833036       89.1888312819      204.0485217573
        205        9.3153209399        9.3151684417        6.9762989193       87.0298673665      203.2569232694
        206        9.2058647177        9.2057247596        6.8716496317       84.4898415069      202.4500989857
        207        9.0853395752        9.0852135995        6.7561556124       81.5951968999      201.6285101235
        208        8.9540713152        8.9539605312        6.6301348191       78.3872922975      200.7926865864
        209        8.8123866261        8.8122919903        6.4939061187       74.8505536717      199.9432244405
        210        8.6606170015        8.6605392041        6.3477931232       71.0591856170      199.0807827860
        211        8.4991031902        8.4990426731        6.1921285458       67.0104530678      198.2060800676
        212        8.3281999682        8.3281568789        6.0272588719       62.7750788095      197.3198898745
        213        8.1482810211        8.1482551913        5.8535491393       58.3947611719      196.4230362941
        214        7.9597437305        7.9597347476        5.6713876248       53.9479295341      195.5163888866
        215        7.7630136678        7.7630208556        5.4811902454       49.5488309660      194.6008573598
        216        7.5585486180        7.5585710504        5.2834044996       45.3085328502      193.6773860254
        217        7.3468419735        7.3468784905        5.0785127927       41.4577158466      192.7469481200
        218        7.1284253672        7.1284746288        4.8670350185       38.3139514823      191.8105400760
        219        6.9038704402        6.9039308646        4.6495302928       36.6283919677      190.8691758239
        220        6.6737896678        6.6738594967        4.4265977667       38.0012831665      189.9238812070
