# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
         80        8.9780163760        8.9806286628        4.2459298429       32.2051726512       54.5167950843
         81        8.9574568728        8.9600619931        4.2223875153       32.0263485836       54.3479237502
         82        8.9368486358        8.9394466009        4.1988919935       31.8478683116       54.1911525823
         83        8.9161927211        8.9187835407        4.1754423985       31.6697346703       54.0369848319
         84        8.8954888672        8.8980725488        4.1520390057       31.4919520850       53.8831266606
         85        8.8747379161        8.8773144657        4.1286811184       31.3145275627       53.7172951490
         86        8.8539386336        8.8565080551        4.1053698679       31.1374533298       53.5559027598
         87        8.8330904165        8.8356527124        4.0821058306       30.9607324202       53.4003288783
         88        8.8121936287        8.8147487997        4.0588887316       30.7843676130       53.2457242537
         89        8.7912484158        8.7937964619        4.0357184875       30.6083591963       53.0911866317
         90        8.7702546957        8.7727956155        4.0125952161       30.4327082915       52.9365096614
         91        8.7492123515        8.7517461426        3.9895190659       30.2574160863       52.7816532117
         92        8.7281212767        8.7306479356        3.9664901762       30.0824836594       52.6266164991
         93        8.7069813670        8.7095008894        3.9435086849       29.9079120670       52.4714065923
         94        8.6857925154        8.6883048959        3.9205747321       29.7337023840       52.3160309402
         95        8.6645546120        8.6670598446        3.8976884609       29.5598557051       52.1604958328
         96        8.6432675451        8.6457656229        3.8748500161       29.3863731400       52.0048062648
         97        8.6219312011        8.6244221165        3.8520595442       29.2132558119       51.8489661015
         98        8.6005454649        8.6030292097        3.8293171934       29.0405048571       51.6929782850
         99        8.5791102196        8.5815867849        3.8066231136       28.8681214237       51.5368450170
        100        8.5576253470        8.5600947233        3.7839774561       28.6961066718       51.3805679094
        101        8.5360907273        8.5385529046        3.7613803737       28.5244617718       51.2241481065
        102        8.5145062397        8.5169612074        3.7388320204       28.3531879047       51.0675863823
        103        8.4928717617        8.4953195087        3.7163325516       28.1822862611       50.9108832177
        104        8.4711871701        8.4736276849        3.6938821241       28.0117580405       50.7540388635
        105        8.4494523402        8.4518856106        3.6714808958       27.8416044526       50.5970533891
        106        8.4276671464        8.4300931600        3.6491290255       27.6718267143       50.4399267229
        107        8.4058314620        8.4082502060        3.6268266735       27.5024260512       50.2826586822
        108        8.3839451594        8.3863566203        3.6045740010       27.3334036976       50.1252489996
        109        8.3620081097        8.3644122740        3.5823711703       27.1647608952       49.9676973419
        110        8.3400201837        8.3424170374        3.5602183445       26.9964988918       49.8100033268
        111        8.3179812510        8.3203707795        3.5381156881       26.8286189443       49.6521665322
        112        8.2958911802        8.2982733690        3.5160633662       26.6611223160       49.4941865103
        113        8.2737498393        8.2761246732        3.4940615449       26.4940102776       49.3360627930
        114        8.2515570954        8.2539245591        3.4721103915       26.3272841059       49.1777948981
        115        8.2293128149        8.2316728928        3.4502100738       26.1609450849       49.0193823336
        116        8.2070168634        8.2093695395        3.4283607608       25.9949945048       48.8608246021
        117        8.1846691059        8.1870143640        3.4065626221       25.8294336624       48.7021212030
        118        8.1622694065        8.1646072301        3.3848158283       25.6642638607       48.5432716353
        119        8.1398570976        8.1421874939        3.3630852755       25.4996370966       47.9648149243
        120        8.1173740899        8.1196970307        3.3414226237       25.3352834614       47.6302977801
        121        8.0948226875        8.0971381457        3.3198260830       25.1713031954       47.4258073263
        122        8.0722166201        8.0745245767        3.2982834981       25.0077299437       47.2250979127
        123        8.0495560986        8.0518565351        3.2767947471       24.8445353627       47.0555874714
        124        8.0268419061        8.0291348041        3.2553591845       24.6817391965       46.8926153182
        125        8.0040746362        8.0063599775        3.2339763312       24.5193425094       46.7314700339
        126        7.9812543014        7.9835320677        3.2126462271       24.3573468190       46.5709402788
        127        7.9583816861        7.9606518592        3.1913682199       24.1957580799       46.4001063093
        128        7.9354561209        7.9377186820        3.1701429602       24.0345730062       46.2272121752
        129        7.9124761033        7.9147310334        3.1489718473       23.8737896557       46.0648563082
        130        7.8894419970        7.8916892768        3.1278546074       23.7134144158       45.9045677870
        131        7.8663540788        7.8685936889        3.1067910439       23.5534473429       45.7447962728
        132        7.8432122634        7.8454441844        3.0857812851       23.3938898155       45.5851432761
        133        7.8200163847        7.8222405971        3.0648255324       23.2347434844       45.4254917237
        134        7.7967662915        7.7989827753        3.0439239739       23.0760098291       45.2657986136
        135        7.7734618400        7.7756705753        3.0230767914       22.9176902557       45.1060420603
        136        7.7501028861        7.7523038529        3.0022841670       22.7597861684       44.9462075261
        137        7.7266892849        7.7288824629        2.9815462839       22.6022989749       44.7862839837
        138        7.7032208893        7.7054062580        2.9608633277       22.4452300987       44.6262626112
        139        7.6796975515        7.6818750904        2.9402354846       22.2885809667       44.4661362192
        140        7.6561191235        7.6582888119        2.9196629414       22.1323530092       44.3058988718
        141        7.6324854567        7.6346472738        2.8991458858       21.9765476606       44.1455456265
        142        7.6087964021        7.6109503268        2.8786845060       21.8211663616       43.9850723352
        143        7.5850518098        7.5871978210        2.8582789914       21.6662105577       43.8244754872
        144        7.5612515297        7.5633896062        2.8379295317       21.5116816996       43.6637520824
        145        7.5373954111        7.5395255315        2.8176363179       21.3575812439       43.5028995307
        146        7.5134833027        7.5156054454        2.7973995413       21.2039106520       43.3419155717
        147        7.4895150529        7.4916291964        2.7772193943       21.0506713910       43.1807982103
        148        7.4654905097        7.4675966322        2.7570960696       20.8978649336       43.0195456650
        149        7.4414095205        7.4435076000        2.7370297613       20.7454927578       42.8581563276
        150        7.4172719324        7.4193619470        2.7170206636       20.5935563474       42.6966287300
        151        7.3930775921        7.3951595196        2.6970689719       20.4420571917       42.5349615176
        152        7.3688263460        7.3709001642        2.6771748822       20.2909967854       42.3731534290
