 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966254  554.629877  554.223603 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966254  554.629876  554.223601 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966254  554.629875  554.223599 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966254  554.629874  554.223597 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966253  554.629873  554.223595 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966253  554.629872  554.223593 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966253  554.629870  554.223590 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966253  554.629869  554.223588 
Temperature ,  559.171276  559.171258  559.171174  559.170825  559.169394  559.163643  559.141423  559.060311  558.786485  557.966253  554.629869  554.223588 
 
 rod_temps   0.21999999999999997     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  563.480343  563.479992  563.478698  563.474539  563.461587  563.422738  563.312062  563.016869  562.290777  560.690469  555.314375  554.502419 
Temperature ,  563.480343  563.479992  563.478699  563.474541  563.461592  563.422760  563.312145  563.017174  562.291844  560.693971  555.328777  554.525569 
Temperature ,  563.480343  563.479992  563.478699  563.474541  563.461594  563.422768  563.312178  563.017303  562.292336  560.695745  555.336794  554.539415 
Temperature ,  563.480343  563.479992  563.478699  563.474541  563.461595  563.422770  563.312189  563.017351  562.292538  560.696545  555.340776  554.546847 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312192  563.017367  562.292609  560.696852  555.342461  554.550266 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292629  560.696949  555.343047  554.551563 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292633  560.696972  555.343203  554.551944 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292633  560.696975  555.343229  554.552018 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292633  560.696974  555.343225  554.552018 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292632  560.696972  555.343218  554.552006 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292632  560.696970  555.343211  554.551993 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292631  560.696969  555.343203  554.551981 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017371  562.292631  560.696967  555.343195  554.551968 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292630  560.696965  555.343188  554.551955 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292630  560.696963  555.343180  554.551942 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292629  560.696961  555.343172  554.551929 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292628  560.696959  555.343164  554.551915 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292628  560.696957  555.343156  554.551902 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017370  562.292627  560.696956  555.343148  554.551889 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017369  562.292627  560.696954  555.343140  554.551875 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017369  562.292626  560.696952  555.343132  554.551862 
Temperature ,  563.480343  563.479992  563.478699  563.474542  563.461595  563.422771  563.312193  563.017369  562.292626  560.696952  555.343132  554.551863 
 
 rod_temps   0.32000000000000001     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  567.787233  567.785166  567.778466  567.760367  567.713630  567.597941  567.325943  566.724538  565.485383  563.155066  555.972236  554.781566 
Temperature ,  567.787234  567.785168  567.778472  567.760385  567.713687  567.598119  567.326478  566.726088  565.489652  563.166034  556.007911  554.831217 
