 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  596.288638  595.534714  593.997231  591.582151  588.290173  584.125893  579.092910  573.193808  566.430457  558.820195  558.749742  554.474134 
Temperature ,  596.310837  595.556913  594.019430  591.604350  588.312372  584.148092  579.115109  573.216007  566.452656  558.842394  558.771941  554.496333 
Temperature ,  596.333036  595.579112  594.041630  591.626549  588.334571  584.170291  579.137308  573.238206  566.474855  558.864593  558.794141  554.518532 
Temperature ,  596.355236  595.601312  594.063829  591.648749  588.356770  584.192490  579.159508  573.260406  566.497055  558.886793  558.816340  554.540732 
Temperature ,  596.377435  595.623511  594.086028  591.670948  588.378970  584.214690  579.181707  573.282605  566.519254  558.908992  558.838539  554.562931 
Temperature ,  596.399634  595.645710  594.108228  591.693147  588.401169  584.236889  579.203906  573.304804  566.541453  558.931191  558.860739  554.585130 
Temperature ,  596.421833  595.667909  594.130427  591.715346  588.423368  584.259088  579.226105  573.327004  566.563653  558.953390  558.882938  554.607329 
Temperature ,  596.444033  595.690109  594.152626  591.737546  588.445567  584.281287  579.248305  573.349203  566.585852  558.975590  558.905137  554.629529 
Temperature ,  596.000048  595.246124  593.708641  591.293561  588.001583  583.837303  578.804320  572.905218  566.141867  558.531605  558.461152  554.185544 
 
 rod_temps    2.0000000000000000     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  596.000038  595.246114  593.708632  591.293551  588.001573  583.837293  578.804310  572.905208  566.141857  558.531595  558.461143  554.185534 
Temperature ,  596.022235  595.268311  593.730829  591.315748  588.023770  583.859490  578.826507  572.927406  566.164054  558.553792  558.483340  554.207731 
Temperature ,  596.044433  595.290508  593.753026  591.337945  588.045967  583.881687  578.848704  572.949603  566.186252  558.575989  558.505537  554.229929 
Temperature ,  596.066630  595.312706  593.775223  591.360142  588.068164  583.903884  578.870901  572.971800  566.208449  558.598186  558.527734  554.252126 
Temperature ,  596.088827  595.334903  593.797420  591.382340  588.090361  583.926081  578.893099  572.993997  566.230646  558.620383  558.549931  554.274323 
Temperature ,  596.111024  595.357100  593.819617  591.404537  588.112558  583.948278  578.915296  573.016194  566.252843  558.642581  558.572128  554.296520 
Temperature ,  596.133221  595.379297  593.841814  591.426734  588.134756  583.970475  578.937493  573.038391  566.275040  558.664778  558.594325  554.318717 
Temperature ,  596.155418  595.401494  593.864011  591.448931  588.156953  583.992673  578.959690  573.060588  566.297237  558.686975  558.616522  554.340914 
Temperature ,  596.177615  595.423691  593.886208  591.471128  588.179150  584.014870  578.981887  573.082785  566.319434  558.709172  558.638719  554.363111 
Temperature ,  596.199812  595.445888  593.908405  591.493325  588.201347  584.037067  579.004084  573.104982  566.341631  558.731369  558.660916  554.385308 
Temperature ,  596.222009  595.468085  593.930602  591.515522  588.223544  584.059264  579.026281  573.127179  566.363828  558.753566  558.683113  554.407505 
Temperature ,  596.244206  595.490282  593.952799  591.537719  588.245741  584.081461  579.048478  573.149376  566.386025  558.775763  558.705310  554.429702 
Temperature ,  596.266403  595.512479  593.974997  591.559916  588.267938  584.103658  579.070675  573.171573  566.408222  558.797960  558.727508  554.451899 
Temperature ,  596.288600  595.534676  593.997194  591.582113  588.290135  584.125855  579.092872  573.193770  566.430419  558.820157  558.749705  554.474096 
Temperature ,  596.310797  595.556873  594.019391  591.604310  588.312332  584.148052  579.115069  573.215967  566.452616  558.842354  558.771902  554.496293 
Temperature ,  596.332994  595.579070  594.041588  591.626507  588.334529  584.170249  579.137266  573.238164  566.474813  558.864551  558.794099  554.518490 
Temperature ,  596.355192  595.601267  594.063785  591.648704  588.356726  584.192446  579.159463  573.260362  566.497011  558.886748  558.816296  554.540688 
Temperature ,  596.377389  595.623465  594.085982  591.670901  588.378923  584.214643  579.181660  573.282559  566.519208  558.908945  558.838493  554.562885 
Temperature ,  596.399586  595.645662  594.108179  591.693099  588.401120  584.236840  579.203858  573.304756  566.541405  558.931142  558.860690  554.585082 
Temperature ,  596.421783  595.667859  594.130376  591.715296  588.423317  584.259037  579.226055  573.326953  566.563602  558.953340  558.882887  554.607279 
Temperature ,  596.443980  595.690056  594.152573  591.737493  588.445515  584.281234  579.248252  573.349150  566.585799  558.975537  558.905084  554.629476 
Temperature ,  596.444033  595.690109  594.152626  591.737546  588.445568  584.281287  579.248305  573.349203  566.585852  558.975590  558.905137  554.629529 
 
 rod_temps    3.0000000000000000     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  596.000038  595.246114  593.708632  591.293551  588.001573  583.837293  578.804310  572.905208  566.141857  558.531595  558.461143  554.185534 
Temperature ,  596.022235  595.268311  593.730829  591.315748  588.023770  583.859490  578.826507  572.927406  566.164054  558.553792  558.483340  554.207731 
Temperature ,  596.044433  595.290508  593.753026  591.337945  588.045967  583.881687  578.848704  572.949603  566.186252  558.575989  558.505537  554.229929 
Temperature ,  596.066630  595.312706  593.775223  591.360142  588.068164  583.903884  578.870901  572.971800  566.208449  558.598186  558.527734  554.252126 
Temperature ,  596.088827  595.334903  593.797420  591.382340  588.090361  583.926081  578.893099  572.993997  566.230646  558.620383  558.549931  554.274323 
Temperature ,  596.111024  595.357100  593.819617  591.404537  588.112558  583.948278  578.915296  573.016194  566.252843  558.642581  558.572128  554.296520 
Temperature ,  596.133221  595.379297  593.841814  591.426734  588.134756  583.970475  578.937493  573.038391  566.275040  558.664778  558.594325  554.318717 
Temperature ,  596.155418  595.401494  593.864011  591.448931  588.156953  583.992673  578.959690  573.060588  566.297237  558.686975  558.616522  554.340914 
Temperature ,  596.177615  595.423691  593.886208  591.471128  588.179150  584.014870  578.981887  573.082785  566.319434  558.709172  558.638719  554.363111 
Temperature ,  596.199812  595.445888  593.908405  591.493325  588.201347  584.037067  579.004084  573.104982  566.341631  558.731369  558.660916  554.385308 
Temperature ,  596.222009  595.468085  593.930602  591.515522  588.223544  584.059264  579.026281  573.127179  566.363828  558.753566  558.683113  554.407505 
Temperature ,  596.244206  595.490282  593.952799  591.537719  588.245741  584.081461  579.048478  573.149376  566.386025  558.775763  558.705310  554.429702 
Temperature ,  596.266403  595.512479  593.974997  591.559916  588.267938  584.103658  579.070675  573.171573  566.408222  558.797960  558.727508  554.451899 
Temperature ,  596.288600  595.534676  593.997194  591.582113  588.290135  584.125855  579.092872  573.193770  566.430419  558.820157  558.749705  554.474096 
Temperature ,  596.310797  595.556873  594.019391  591.604310  588.312332  584.148052  579.115069  573.215967  566.452616  558.842354  558.771902  554.496293 
Temperature ,  596.332994  595.579070  594.041588  591.626507  588.334529  584.170249  579.137266  573.238164  566.474813  558.864551  558.794099  554.518490 
Temperature ,  596.355192  595.601267  594.063785  591.648704  588.356726  584.192446  579.159463  573.260362  566.497011  558.886748  558.816296  554.540688 
Temperature ,  596.377389  595.623465  594.085982  591.670901  588.378923  584.214643  579.181660  573.282559  566.519208  558.908945  558.838493  554.562885 
Temperature ,  596.399586  595.645662  594.108179  591.693099  588.401120  584.236840  579.203858  573.304756  566.541405  558.931142  558.860690  554.585082 
Temperature ,  596.421783  595.667859  594.130376  591.715296  588.423317  584.259037  579.226055  573.326953  566.563602  558.953340  558.882887  554.607279 
Temperature ,  596.443980  595.690056  594.152573  591.737493  588.445515  584.281234  579.248252  573.349150  566.585799  558.975537  558.905084  554.629476 
Temperature ,  596.443980  595.690056  594.152574  591.737493  588.445515  584.281235  579.248252  573.349150  566.585799  558.975537  558.905085  554.629476 
 
 rod_temps    1.0000000000000000     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  596.000038  595.246114  593.708632  591.293551  588.001573  583.837293  578.804310  572.905208  566.141857  558.531595  558.461143  554.185534 
Temperature ,  596.022235  595.268311  593.730829  591.315748  588.023770  583.859490  578.826507  572.927406  566.164054  558.553792  558.483340  554.207731 
Temperature ,  596.044433  595.290508  593.753026  591.337945  588.045967  583.881687  578.848704  572.949603  566.186252  558.575989  558.505537  554.229929 
Temperature ,  596.066630  595.312706  593.775223  591.360142  588.068164  583.903884  578.870901  572.971800  566.208449  558.598186  558.527734  554.252126 
Temperature ,  596.088827  595.334903  593.797420  591.382340  588.090361  583.926081  578.893099  572.993997  566.230646  558.620383  558.549931  554.274323 
Temperature ,  596.111024  595.357100  593.819617  591.404537  588.112558  583.948278  578.915296  573.016194  566.252843  558.642581  558.572128  554.296520 
Temperature ,  596.133221  595.379297  593.841814  591.426734  588.134756  583.970475  578.937493  573.038391  566.275040  558.664778  558.594325  554.318717 
Temperature ,  596.155418  595.401494  593.864011  591.448931  588.156953  583.992673  578.959690  573.060588  566.297237  558.686975  558.616522  554.340914 
Temperature ,  596.177615  595.423691  593.886208  591.471128  588.179150  584.014870  578.981887  573.082785  566.319434  558.709172  558.638719  554.363111 
Temperature ,  596.199812  595.445888  593.908405  591.493325  588.201347  584.037067  579.004084  573.104982  566.341631  558.731369  558.660916  554.385308 
Temperature ,  596.222009  595.468085  593.930602  591.515522  588.223544  584.059264  579.026281  573.127179  566.363828  558.753566  558.683113  554.407505 
Temperature ,  596.244206  595.490282  593.952799  591.537719  588.245741  584.081461  579.048478  573.149376  566.386025  558.775763  558.705310  554.429702 
Temperature ,  596.266403  595.512479  593.974997  591.559916  588.267938  584.103658  579.070675  573.171573  566.408222  558.797960  558.727508  554.451899 
Temperature ,  596.288600  595.534676  593.997194  591.582113  588.290135  584.125855  579.092872  573.193770  566.430419  558.820157  558.749705  554.474096 
Temperature ,  596.310797  595.556873  594.019391  591.604310  588.312332  584.148052  579.115069  573.215967  566.452616  558.842354  558.771902  554.496293 
Temperature ,  596.332994  595.579070  594.041588  591.626507  588.334529  584.170249  579.137266  573.238165  566.474813  558.864551  558.794099  554.518490 
Temperature ,  596.355192  595.601267  594.063785  591.648704  588.356726  584.192446  579.159463  573.260362  566.497011  558.886748  558.816296  554.540688 
Temperature ,  596.377389  595.623465  594.085982  591.670901  588.378923  584.214643  579.181660  573.282559  566.519208  558.908945  558.838493  554.562885 
Temperature ,  596.399586  595.645662  594.108179  591.693099  588.401120  584.236840  579.203858  573.304756  566.541405  558.931142  558.860690  554.585082 
Temperature ,  596.421783  595.667859  594.130376  591.715296  588.423317  584.259037  579.226055  573.326953  566.563602  558.953340  558.882887  554.607279 
Temperature ,  596.443980  595.690056  594.152573  591.737493  588.445515  584.281234  579.248252  573.349150  566.585799  558.975537  558.905084  554.629476 
Temperature ,  596.443980  595.690056  594.152574  591.737493  588.445515  584.281235  579.248252  573.349150  566.585799  558.975537  558.905085  554.629476 
 
