 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  571.999907  571.999769  571.999221  571.997095  571.989278  571.962362  571.877244  571.634935  571.026943  569.721122  569.600324  555.502591 
Temperature ,  571.999907  571.999768  571.999220  571.997093  571.989272  571.962345  571.877195  571.634816  571.026700  569.720726  569.599929  555.502559 
Temperature ,  571.999907  571.999768  571.999220  571.997091  571.989266  571.962327  571.877146  571.634696  571.026455  569.720326  569.599531  555.502526 
Temperature ,  571.999907  571.999768  571.999219  571.997090  571.989261  571.962309  571.877096  571.634574  571.026207  569.719922  569.599130  555.502491 
Temperature ,  571.999907  571.999768  571.999219  571.997088  571.989255  571.962291  571.877045  571.634451  571.025956  569.719514  569.598724  555.502453 
Temperature ,  571.999907  571.999768  571.999218  571.997086  571.989249  571.962272  571.876993  571.634326  571.025703  569.719102  569.598314  555.502413 
Temperature ,  571.999906  571.999768  571.999218  571.997084  571.989243  571.962253  571.876941  571.634199  571.025446  569.718685  569.597899  555.502371 
Temperature ,  571.999908  571.999771  571.999230  571.997132  571.989424  571.962906  571.879117  571.640735  571.042665  569.757056  569.637591  555.685630 
Temperature ,  571.999908  571.999771  571.999230  571.997132  571.989424  571.962906  571.879117  571.640736  571.042667  569.757059  569.637594  555.685632 
 
 rod_temps   0.21848126100807286     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  571.989880  571.983817  571.967187  571.926569  571.834618  571.638461  571.246223  570.517130  569.267011  567.311903  567.199860  554.559825 
Temperature ,  571.990238  571.984386  571.968330  571.929084  571.840139  571.650088  571.269208  570.559105  569.336846  567.416381  567.305016  554.725930 
Temperature ,  571.990220  571.984371  571.968334  571.929187  571.840602  571.651642  571.273622  570.570028  569.360504  567.460801  567.350395  554.873428 
Temperature ,  571.990205  571.984351  571.968309  571.929173  571.840694  571.652186  571.275639  570.576069  569.375962  567.494836  567.385830  555.067595 
Temperature ,  571.990194  571.984336  571.968281  571.929128  571.840645  571.652244  571.276255  570.578660  569.384208  567.516637  567.409126  555.267366 
Temperature ,  571.990187  571.984325  571.968260  571.929085  571.840565  571.652131  571.276234  570.579313  569.387481  567.527740  567.421425  555.425416 
Temperature ,  571.990182  571.984317  571.968245  571.929052  571.840495  571.651994  571.276017  570.579149  569.388101  567.531731  567.426138  555.520841 
Temperature ,  571.990178  571.984311  571.968233  571.929027  571.840439  571.651878  571.275793  570.578777  569.387707  567.532182  567.426904  555.562934 
Temperature ,  571.990175  571.984306  571.968223  571.929005  571.840394  571.651785  571.275609  570.578432  569.387124  567.531445  567.426249  555.573915 
Temperature ,  571.990171  571.984300  571.968214  571.928986  571.840355  571.651707  571.275460  570.578157  569.386629  567.530601  567.425397  555.572628 
Temperature ,  571.990168  571.984295  571.968204  571.928967  571.840318  571.651636  571.275330  570.577932  569.386249  567.529949  567.424720  555.569082 
Temperature ,  571.990165  571.984290  571.968195  571.928949  571.840281  571.651567  571.275209  570.577733  569.385940  567.529471  567.424226  555.566566 
Temperature ,  571.990161  571.984285  571.968186  571.928930  571.840244  571.651498  571.275090  570.577544  569.385663  567.529089  567.423837  555.565319 
Temperature ,  571.990158  571.984280  571.968176  571.928911  571.840207  571.651430  571.274971  570.577357  569.385398  567.528748  567.423495  555.564827 
Temperature ,  571.990154  571.984275  571.968167  571.928892  571.840170  571.651360  571.274852  570.577170  569.385136  567.528420  567.423168  555.564669 
Temperature ,  571.990151  571.984270  571.968157  571.928873  571.840132  571.651290  571.274731  570.576982  569.384872  567.528094  567.422844  555.564630 
Temperature ,  571.990147  571.984264  571.968147  571.928854  571.840094  571.651219  571.274609  570.576791  569.384605  567.527765  567.422517  555.564628 
Temperature ,  571.990144  571.984259  571.968137  571.928834  571.840055  571.651148  571.274486  570.576598  569.384336  567.527433  567.422188  555.564634 
Temperature ,  571.990140  571.984254  571.968127  571.928814  571.840016  571.651075  571.274361  570.576403  569.384063  567.527098  567.421855  555.564640 
Temperature ,  571.990136  571.984248  571.968117  571.928794  571.839977  571.651001  571.274235  570.576206  569.383788  567.526758  567.421517  555.564644 
Temperature ,  571.990303  571.984514  571.968650  571.929967  571.842551  571.656420  571.284938  570.595735  569.416249  567.575271  567.470337  555.640772 
Temperature ,  571.990303  571.984514  571.968650  571.929967  571.842552  571.656420  571.284939  570.595736  569.416250  567.575273  567.470339  555.640773 
 
 rod_temps   0.31848126100807295     
 Rod ,           1
 radial pos , 0.0    1.0989019599873821E-003   2.4572194831395402E-003   3.9621473634423839E-003   5.4945097999369100E-003   7.0364057745576679E-003   8.5826986768446391E-003   1.0131375474309959E-002   1.1681488068565768E-002   1.3232531884008287E-002   1.4763779527559053E-002   1.5583989501312335E-002   1.6404199475065617E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
